id;nombre;categoria;cocina;ambientacion;telefono;horario;direccion;barrio
1;MIL DOS;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4774 8411;;SOLDADO DE LA INDEPENDENCIA 1002;Palermo
2;4 EN 2 I;RESTAURANTE;;;4832 9510;;BORGES, JORGE LUIS 2095;Palermo
3;4 X 4 CAFE;BAR;MINUTAS;;4776 6000;;DEL LIBERTADOR AV. 3838;Palermo
5;7 SEVEN;RESTAURANTE;PORTEÑA;RUSTICA;4770 9698;;GORRITI 5802;Palermo
6;8 MILIMETROS;RESTAURANTE;DE AUTOR;CINE;4899 0474;;GORRITI 5535;Palermo
7;ACABAR;BAR;MINUTAS;BOHEMIO;4772 0845;;HONDURAS 5733;Palermo
8;AL ANDALUZ;BAR;MEDITERRANEA;ANTIGUO;4832 9286;;GODOY CRUZ 1823;Palermo
9;AL SHARK;RESTAURANTE;ARABE;ARABE;4833 6933;;SCALABRINI ORTIZ, RAUL AV. 1426;Palermo
10;AL FRESCO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4833 2776;lunes a sábado de 8 a 20;HONDURAS 5201;Palermo
11;AL TAGLIO PIZZORANTE;RESTAURANTE;;;;;ARAOZ 2476;Palermo
12;ALFONSO 1RO;RESTAURANTE;;;;;PARAGUAY 3948;Palermo
13;ALABAMA;RESTAURANTE;;;;;SANTA FE AV. 5270;Palermo
14;ALHARACA;RESTAURANTE;MINUTAS;MODERNO;4831 2787;;GORRITI 5045;Palermo
15;ALMONTE;RESTAURANTE;ESPAÑOLA;ESPAÑOL;4773 7070;;BONPLAND 1939;Palermo
16;ANGECINA;RESTAURANTE;INTERNACIONAL;MODERNO;4825 1140;lunes a domingo de 8.30 a 2;REPUBLICA DOMINICANA 3386;Palermo
17;ANDEN;RESTAURANTE;INTERNACIONAL;MODERNO;4773 0707;;SANTA FE AV. 5302;Palermo
18;ANGELIN;RESTAURANTE;PIZZERIA;MODERNO;4774 3836;;CORDOBA AV. 5770;Chacarita
19;ANGELINA;RESTAURANTE;INTERNACIONAL;MODERNO;4825 1111;;CHARCAS 3386;Palermo
20;ANTAÑO BAR;BAR;MINUTAS;CLASICO PORTEÑO;4706 3718;;VUELTA DE OBLIGADO 1101;Palermo
21;ANTE SALA;BAR;MINUTAS;MODERNO;4833 4200;;COSTA RICA 4969;Palermo
22;ANUSH;BAR;ARMENIA;ARMENIA;4631 1349;;ARMENIA 1242;Palermo
23;AREVALO AL FONDO;RESTAURANTE;TRADICIONAL;ELEGANTE;4776 5261;;AREVALO 3056;Palermo
24;ARGUIBEL;RESTAURANTE;REGIONAL;BOHEMIO;4899 0700;;ARGUIBEL, ANDRES 2826;Palermo
25;ARMENIA RETAURANT;RESTAURANTE;ARMENIA;ARMENIA;4776 2500;;ARMENIA 1366;Palermo
26;ARTE DE MAFIA;RESTAURANTE;ITALIANA;ITALIANA;4831 9213;;EL SALVADOR 4975;Palermo
27;AZUL ESPUMANTE;RESTAURANTE;ORIENTAL;ORIENTAL;4833 1377;;GUATEMALA 4665;Palermo
28;AZAFRAN;RESTAURANTE;ESPAÑOLA;ANTIGUO;4832 6487;;HONDURAS 5143;Palermo
29;AZURRO;RESTAURANTE;;;;;SANTA FE AV. 3596;Palermo
30;B & B;RESTAURANTE;MINUTAS;MODERNO;4827 4343;;BULNES 2215;Palermo
31;BA;RESTAURANTE;;;;;VEGA, NICETO, Cnel. AV. 5702;Palermo
32;BACHET - BACHET;BAR;FUSION;MODERNO;4831 7373;martes a domingo de 5 a 17;EL SALVADOR 4960;Palermo
33;BABY BA;BAR;;;;;AREVALO 1466;Palermo
34;BACIO DA LUPO;RESTAURANTE;;;;;EL SALVADOR 5600;Palermo
35;BAKANO;RESTAURANTE;PIZZERIA;MODERNO;4807 1011;;CERVIÑO AV. 3496;Palermo
36;BANAURA BAR;RESTAURANTE;DE AUTOR;ART- DECO;;martes a domingo de 19 al cierre;SOLER 4202;Palermo
37;BAR;BAR;;;;;HONDURAS 5699;Palermo
38;BAR ABIERTO;BAR;INTERNACIONAL;CLASICO PORTEÑO;4833 7640;;BORGES, JORGE LUIS 1613;Palermo
39;BAR 6;BAR;INTERNACIONAL;DISEÑO;4833 6807;lunes a sábado de 8 a 3;ARMENIA 1676;Palermo
40;BAR DE VINOS;VINERIA;;;;;HUMBOLDT 1847;Palermo
41;BAR K-FE;CAFE;;;4803 9486;;CASTEX 3390;Palermo
42;BAR FLY;VINERIA;MINUTAS;MODERNO;4777 7455;;DEL LIBERTADOR AV. 3883;Palermo
43;BAR PATRICE;CAFE;MINUTAS;MODERNO;4776 1485;;CHARCAS 4402;Palermo
44;BAR URIARTE;RESTAURANTE;ITALIANA;MODERNO;4834 6004;lunes a domingo de 9 al cierre;URIARTE 1572;Palermo
45;BAR VITO'S;BAR;MINUTAS;MODERNO;4822 1376;;SANTA FE AV. 3219;Palermo
46;BAR VILAS;RESTAURANTE;SANDWICHERIA;MODERNO;4822 1376;;SANTA FE AV. 3219;Palermo
47;BARBARO;BAR;;;4802 8388;;ARAOZ 2974;Palermo
